sample_index,gap_group,card_id,name,set_id,set_name,card_number,rarity,source_names,release_date,release_bucket,card_class,stratum,notes
1,eur_only,pokemon:en:sv06:173,Infernape,sv06,Twilight Masquerade,173,Illustration rare,cardmarket,2024-05-24,recent,alt_art,recent:alt_art,screenshot-example
2,eur_only,pokemon:en:sv10.5b:170,N's Plan,sv10.5b,Black Bolt,170,Special illustration rare,cardmarket,2025-07-17,recent,alt_art,recent:alt_art,screenshot-example
3,eur_only,pokemon:en:sv04.5:212,Forretress ex,sv04.5,Paldean Fates,212,Shiny Ultra Rare,cardmarket,2024-01-26,recent,alt_art,recent:alt_art,
4,eur_only,pokemon:en:sv04.5:001,Pineco,sv04.5,Paldean Fates,001,Common,cardmarket,2024-01-26,recent,standard,recent:standard,
5,eur_only,pokemon:en:swsh3.5:69,Drednaw V,swsh3.5,Champion's Path,69,Ultra Rare,cardmarket,2020-09-25,modern,alt_art,modern:alt_art,
6,eur_only,pokemon:en:swsh3.5:1,Venusaur V,swsh3.5,Champion's Path,1,Holo Rare V,cardmarket,2020-09-25,modern,standard,modern:standard,
7,eur_only,pokemon:en:xyp:XY176,Champions Festival,xyp,XY Black Star Promos,XY176,Common,cardmarket,2013-10-12,legacy,promo,legacy:promo,
8,eur_only,pokemon:en:xy10:105a,N,xy10,Fates Collide,105a,Ultra Rare,cardmarket,2016-05-02,legacy,alt_art,legacy:alt_art,
9,eur_only,pokemon:en:base1:8,Machamp,base1,Base Set,8,Rare,cardmarket,1999-01-09,legacy,standard,legacy:standard,
10,eur_only,pokemon:en:sv04.5:213,Toedscruel ex,sv04.5,Paldean Fates,213,Shiny Ultra Rare,cardmarket,2024-01-26,recent,alt_art,recent:alt_art,
11,eur_only,pokemon:en:sv04.5:002,Forretress ex,sv04.5,Paldean Fates,002,Double rare,cardmarket,2024-01-26,recent,standard,recent:standard,
12,eur_only,pokemon:en:swsh3.5:70,Gardevoir V,swsh3.5,Champion's Path,70,Ultra Rare,cardmarket,2020-09-25,modern,alt_art,modern:alt_art,
13,eur_only,pokemon:en:swsh3.5:10,Centiskorch,swsh3.5,Champion's Path,10,Holo Rare,cardmarket,2020-09-25,modern,standard,modern:standard,
14,eur_only,pokemon:en:xyp:XY177a,Karen,xyp,XY Black Star Promos,XY177a,Common,cardmarket,2013-10-12,legacy,promo,legacy:promo,
15,eur_only,pokemon:en:gym2:113,Cinnabar City Gym,gym2,Gym Challenge,113,Uncommon,cardmarket,2000-10-16,legacy,standard,legacy:standard,
16,eur_only,pokemon:en:sv04.5:214,Espathra ex,sv04.5,Paldean Fates,214,Shiny Ultra Rare,cardmarket,2024-01-26,recent,alt_art,recent:alt_art,
17,eur_only,pokemon:en:sv04.5:003,Maractus,sv04.5,Paldean Fates,003,Common,cardmarket,2024-01-26,recent,standard,recent:standard,
18,eur_only,pokemon:en:swsh3.5:71,Galarian Cursola V,swsh3.5,Champion's Path,71,Ultra Rare,cardmarket,2020-09-25,modern,alt_art,modern:alt_art,
19,eur_only,pokemon:en:swsh3.5:11,Carvanha,swsh3.5,Champion's Path,11,Common,cardmarket,2020-09-25,modern,standard,modern:standard,
20,eur_only,pokemon:en:xyp:XY202,Pikachu,xyp,XY Black Star Promos,XY202,Common,cardmarket,2013-10-12,legacy,promo,legacy:promo,
21,eur_only,pokemon:en:lc:1,Alakazam,lc,Legendary Collection,1,Rare,cardmarket,2002-05-24,legacy,standard,legacy:standard,
22,eur_only,pokemon:en:sv04.5:215,Alakazam ex,sv04.5,Paldean Fates,215,Shiny Ultra Rare,cardmarket,2024-01-26,recent,alt_art,recent:alt_art,
23,eur_only,pokemon:en:sv04.5:004,Toedscool,sv04.5,Paldean Fates,004,Common,cardmarket,2024-01-26,recent,standard,recent:standard,
24,eur_only,pokemon:en:swsh3.5:72,Grapploct V,swsh3.5,Champion's Path,72,Ultra Rare,cardmarket,2020-09-25,modern,alt_art,modern:alt_art,
25,eur_only,pokemon:en:swsh3.5:12,Sharpedo,swsh3.5,Champion's Path,12,Uncommon,cardmarket,2020-09-25,modern,standard,modern:standard,
26,eur_only,pokemon:en:xyp:XY67a,Jirachi,xyp,XY Black Star Promos,XY67a,Common,cardmarket,2013-10-12,legacy,promo,legacy:promo,
27,eur_only,pokemon:en:lc:10,Flareon,lc,Legendary Collection,10,Rare,cardmarket,2002-05-24,legacy,standard,legacy:standard,
28,eur_only,pokemon:en:sv04.5:216,Mew ex,sv04.5,Paldean Fates,216,Shiny Ultra Rare,cardmarket,2024-01-26,recent,alt_art,recent:alt_art,
29,eur_only,pokemon:en:sv04.5:005,Toedscruel ex,sv04.5,Paldean Fates,005,Double rare,cardmarket,2024-01-26,recent,standard,recent:standard,
30,eur_only,pokemon:en:swsh3.5:73,Hop,swsh3.5,Champion's Path,73,Ultra Rare,cardmarket,2020-09-25,modern,alt_art,modern:alt_art,
31,eur_only,pokemon:en:swsh3.5:13,Wailord V,swsh3.5,Champion's Path,13,Holo Rare V,cardmarket,2020-09-25,modern,standard,modern:standard,
32,eur_only,pokemon:en:g1:73a,Team Flare Grunt,g1,Generations,73a,Uncommon,cardmarket,2016-02-22,legacy,promo,legacy:promo,
33,eur_only,pokemon:en:lc:100,Full Heal Energy,lc,Legendary Collection,100,Uncommon,cardmarket,2002-05-24,legacy,standard,legacy:standard,
34,eur_only,pokemon:en:sv04.5:217,Gardevoir ex,sv04.5,Paldean Fates,217,Shiny Ultra Rare,cardmarket,2024-01-26,recent,alt_art,recent:alt_art,
35,eur_only,pokemon:en:sv04.5:006,Espathra ex,sv04.5,Paldean Fates,006,Double rare,cardmarket,2024-01-26,recent,standard,recent:standard,
36,eur_only,pokemon:en:swsh3.5:74,Charizard VMAX,swsh3.5,Champion's Path,74,Secret Rare,cardmarket,2020-09-25,modern,alt_art,modern:alt_art,
37,eur_only,pokemon:en:swsh3.5:14,Drednaw V,swsh3.5,Champion's Path,14,Holo Rare V,cardmarket,2020-09-25,modern,standard,modern:standard,
38,eur_only,pokemon:en:swshp:SWSH112,Cinderace,swshp,SWSH Black Star Promos,SWSH112,None,cardmarket,2019-11-15,legacy,promo,legacy:promo,
39,eur_only,pokemon:en:lc:101,Potion Energy,lc,Legendary Collection,101,Uncommon,cardmarket,2002-05-24,legacy,standard,legacy:standard,
40,eur_only,pokemon:en:sv04.5:218,Glimmora ex,sv04.5,Paldean Fates,218,Shiny Ultra Rare,cardmarket,2024-01-26,recent,alt_art,recent:alt_art,
41,eur_only,pokemon:en:sv04.5:007,Charmander,sv04.5,Paldean Fates,007,Common,cardmarket,2024-01-26,recent,standard,recent:standard,
42,eur_only,pokemon:en:swsh3.5:75,Drednaw VMAX,swsh3.5,Champion's Path,75,Secret Rare,cardmarket,2020-09-25,modern,alt_art,modern:alt_art,
43,eur_only,pokemon:en:swsh3.5:15,Drednaw VMAX,swsh3.5,Champion's Path,15,Holo Rare VMAX,cardmarket,2020-09-25,modern,standard,modern:standard,
44,eur_only,pokemon:en:swshp:SWSH113,Inteleon,swshp,SWSH Black Star Promos,SWSH113,None,cardmarket,2019-11-15,legacy,promo,legacy:promo,
45,eur_only,pokemon:en:lc:102,Pokémon Breeder,lc,Legendary Collection,102,Rare,cardmarket,2002-05-24,legacy,standard,legacy:standard,
46,eur_only,pokemon:en:sv04.5:219,Paldean Clodsire ex,sv04.5,Paldean Fates,219,Shiny Ultra Rare,cardmarket,2024-01-26,recent,alt_art,recent:alt_art,
47,eur_only,pokemon:en:sv04.5:008,Charmeleon,sv04.5,Paldean Fates,008,Uncommon,cardmarket,2024-01-26,recent,standard,recent:standard,
48,eur_only,pokemon:en:swsh3.5:76,Gardevoir VMAX,swsh3.5,Champion's Path,76,Secret Rare,cardmarket,2020-09-25,modern,alt_art,modern:alt_art,
49,eur_only,pokemon:en:swsh3.5:16,Gardevoir V,swsh3.5,Champion's Path,16,Holo Rare V,cardmarket,2020-09-25,modern,standard,modern:standard,
50,eur_only,pokemon:en:swshp:SWSH114,Cresselia,swshp,SWSH Black Star Promos,SWSH114,None,cardmarket,2019-11-15,legacy,promo,legacy:promo,
51,eur_only,pokemon:en:lc:103,Pokémon Trader,lc,Legendary Collection,103,Rare,cardmarket,2002-05-24,legacy,standard,legacy:standard,
52,eur_only,pokemon:en:sv04.5:220,Noivern ex,sv04.5,Paldean Fates,220,Shiny Ultra Rare,cardmarket,2024-01-26,recent,alt_art,recent:alt_art,
53,eur_only,pokemon:en:sv04.5:009,Magmar,sv04.5,Paldean Fates,009,Common,cardmarket,2024-01-26,recent,standard,recent:standard,
54,eur_only,pokemon:en:swsh3.5:77,Kabu,swsh3.5,Champion's Path,77,Secret Rare,cardmarket,2020-09-25,modern,alt_art,modern:alt_art,
55,eur_only,pokemon:en:swsh3.5:17,Gardevoir VMAX,swsh3.5,Champion's Path,17,Holo Rare VMAX,cardmarket,2020-09-25,modern,standard,modern:standard,
56,eur_only,pokemon:en:swshp:SWSH115,Passimian,swshp,SWSH Black Star Promos,SWSH115,None,cardmarket,2019-11-15,legacy,promo,legacy:promo,
57,eur_only,pokemon:en:lc:104,Scoop Up,lc,Legendary Collection,104,Rare,cardmarket,2002-05-24,legacy,standard,legacy:standard,
58,eur_only,pokemon:en:sv04.5:221,Pidgeot ex,sv04.5,Paldean Fates,221,Shiny Ultra Rare,cardmarket,2024-01-26,recent,alt_art,recent:alt_art,
59,eur_only,pokemon:en:sv04.5:010,Magmortar,sv04.5,Paldean Fates,010,Rare,cardmarket,2024-01-26,recent,standard,recent:standard,
60,eur_only,pokemon:en:swsh3.5:78,Piers,swsh3.5,Champion's Path,78,Secret Rare,cardmarket,2020-09-25,modern,alt_art,modern:alt_art,
61,eur_only,pokemon:en:swsh3.5:18,Hatenna,swsh3.5,Champion's Path,18,Common,cardmarket,2020-09-25,modern,standard,modern:standard,
62,eur_only,pokemon:en:lc:105,The Boss's Way,lc,Legendary Collection,105,Uncommon,cardmarket,2002-05-24,legacy,standard,legacy:standard,
63,eur_only,pokemon:en:sv04.5:222,Wigglytuff ex,sv04.5,Paldean Fates,222,Shiny Ultra Rare,cardmarket,2024-01-26,recent,alt_art,recent:alt_art,
64,eur_only,pokemon:en:sv04.5:011,Numel,sv04.5,Paldean Fates,011,Common,cardmarket,2024-01-26,recent,standard,recent:standard,
65,eur_only,pokemon:en:swsh3.5:79,Charizard V,swsh3.5,Champion's Path,79,Secret Rare,cardmarket,2020-09-25,modern,alt_art,modern:alt_art,
66,eur_only,pokemon:en:swsh3.5:19,Hattrem,swsh3.5,Champion's Path,19,Uncommon,cardmarket,2020-09-25,modern,standard,modern:standard,
67,eur_only,pokemon:en:lc:106,Challenge!,lc,Legendary Collection,106,Uncommon,cardmarket,2002-05-24,legacy,standard,legacy:standard,
68,eur_only,pokemon:en:sv04.5:223,Squawkabilly ex,sv04.5,Paldean Fates,223,Shiny Ultra Rare,cardmarket,2024-01-26,recent,alt_art,recent:alt_art,
69,eur_only,pokemon:en:sv04.5:012,Camerupt,sv04.5,Paldean Fates,012,Uncommon,cardmarket,2024-01-26,recent,standard,recent:standard,
70,eur_only,pokemon:en:swsh3.5:80,Suspicious Food Tin,swsh3.5,Champion's Path,80,Secret Rare,cardmarket,2020-09-25,modern,alt_art,modern:alt_art,
71,eur_only,pokemon:en:swsh3.5:2,Weedle,swsh3.5,Champion's Path,2,Common,cardmarket,2020-09-25,modern,standard,modern:standard,
72,eur_only,pokemon:en:lc:107,Energy Retrieval,lc,Legendary Collection,107,Uncommon,cardmarket,2002-05-24,legacy,standard,legacy:standard,
73,eur_only,pokemon:en:sv04.5:224,Wugtrio,sv04.5,Paldean Fates,224,Illustration rare,cardmarket,2024-01-26,recent,alt_art,recent:alt_art,
74,eur_only,pokemon:en:sv04.5:013,Heat Rotom,sv04.5,Paldean Fates,013,Rare,cardmarket,2024-01-26,recent,standard,recent:standard,
75,eur_only,pokemon:en:swsh4.5:10,Dhelmise VMAX,swsh4.5,Shining Fates,10,Ultra Rare,cardmarket,2021-02-19,modern,alt_art,modern:alt_art,
76,eur_only,pokemon:en:swsh3.5:20,Hatterene,swsh3.5,Champion's Path,20,Holo Rare,cardmarket,2020-09-25,modern,standard,modern:standard,
