card_id,provider,found,market_price,low_price,high_price,provider_card_name,match_confidence,response_time_ms,notes
pokemon:en:sv06:173,poketrace,False,,,,,,3990,
pokemon:en:sv10.5b:170,poketrace,False,,,,,,3823,
pokemon:en:svp:047,poketrace,False,,,,,,0,no set mapping for svp
pokemon:en:xy10:105a,poketrace,False,,,,,,3785,
pokemon:en:xyp:XY176,poketrace,False,,,,,,4094,
pokemon:en:base1:8,poketrace,False,,,,,,3955,
pokemon:en:swsh3.5:69,poketrace,False,,,,,,3792,
pokemon:en:svp:001,poketrace,False,,,,,,0,no set mapping for svp
pokemon:en:swsh3.5:1,poketrace,False,,,,,,4000,
pokemon:en:sv04.5:212,poketrace,False,,,,,,3889,
pokemon:en:P-A:001,poketrace,False,,,,,,0,no set mapping for P-A
pokemon:en:sv04.5:001,poketrace,False,,,,,,3890,
pokemon:en:pop5:16,poketrace,False,,,,,,3794,
pokemon:en:xyp:XY177a,poketrace,False,,,,,,3779,
pokemon:en:gym2:113,poketrace,True,45.61,45.61,45.61,______'s Chansey,exact,3818,
pokemon:en:swsh3.5:70,poketrace,False,,,,,,308,
pokemon:en:svp:002,poketrace,False,,,,,,0,no set mapping for svp
pokemon:en:swsh3.5:10,poketrace,False,,,,,,4012,
pokemon:en:sv04.5:213,poketrace,False,,,,,,3810,
pokemon:en:P-A:002,poketrace,False,,,,,,0,no set mapping for P-A
pokemon:en:sv06:173,pokemonpricetracker,True,12.22,8.0,,Infernape - 173/167,exact,1605,
pokemon:en:sv10.5b:170,pokemonpricetracker,True,59.37,57.99,,N's Plan - 170/086,exact,476,
pokemon:en:svp:047,pokemonpricetracker,False,,,,,,486,
pokemon:en:xy10:105a,pokemonpricetracker,True,0.27,0.04,,Fairy Drop,exact,453,
pokemon:en:xyp:XY176,pokemonpricetracker,False,,,,,,462,
pokemon:en:base1:8,pokemonpricetracker,False,,,,,,625,
pokemon:en:swsh3.5:69,pokemonpricetracker,True,6.97,3.99,,Drednaw VMAX (Secret),exact,423,
pokemon:en:svp:001,pokemonpricetracker,False,,,,,,474,
pokemon:en:swsh3.5:1,pokemonpricetracker,True,2.33,1.06,,Venusaur V,exact,514,
pokemon:en:sv04.5:212,pokemonpricetracker,True,1.0,0.7,,Forretress ex - 212/091,exact,651,
pokemon:en:P-A:001,pokemonpricetracker,False,,,,,,473,
pokemon:en:sv04.5:001,pokemonpricetracker,True,2.59,1.55,,Pineco - 099/091,exact,489,
pokemon:en:pop5:16,pokemonpricetracker,True,1900.0,0.0,,Espeon Star,exact,476,
pokemon:en:xyp:XY177a,pokemonpricetracker,False,,,,,,704,
pokemon:en:gym2:113,pokemonpricetracker,True,2.2,0.21,,Cinnabar City Gym,exact,5661,
pokemon:en:swsh3.5:70,pokemonpricetracker,True,14.13,12.0,,Gardevoir VMAX (Secret),exact,1107,
pokemon:en:svp:002,pokemonpricetracker,False,,,,,,616,
pokemon:en:swsh3.5:10,pokemonpricetracker,True,0.21,0.04,,Centiskorch,exact,582,
pokemon:en:sv04.5:213,pokemonpricetracker,True,1.23,0.5,,Toedscruel ex - 213/091,exact,1062,
pokemon:en:P-A:002,pokemonpricetracker,False,,,,,,530,
